County,Date,Field ID,Sex,Size (cm),Waterway,City,Probable Cause
Lee,2018-04-08 00:00:00,MSW18084,F,350,Caloosahatchee River,Ft. Myers,Natural: Other
Collier,2018-04-09 00:00:00,MSW18085,M,185,Tarpon Bay,Naples,Verified: Not Recovered
Lee,2018-04-09 00:00:00,MSW18086,M,266,Charlotte Harbor,Bokeelia,Natural: Other
Charlotte,2018-04-10 00:00:00,SWFTm1826b,M,205,Charlotte Harbor,Punta Gorda,Natural: Other
Lee,2018-04-10 00:00:00,SWFTm1827b,M,221,Blind Pass,Captiva,Natural: Other
Brevard,2018-04-11 00:00:00,MEC18049,M,101,Turkey Creek,Palm Bay,Perinatal (<= 150 cm)
Lee,2018-04-11 00:00:00,MSW18087,M,307,Charlotte Harbor,Boca Grande,Natural: Other
Collier,2018-04-11 00:00:00,MSW18088,M,245,Gulf of Mexico,Cape Romano,Verified: Not Recovered
Lee,2018-04-11 00:00:00,MSW18092,F,245,Boca Grande Bayou,Boca Grande,Natural: Other
Hillsborough,2018-04-13 00:00:00,MNW18049,M,241,Old Tampa Bay,Tampa,Human Related: Watercraft Collision
Lee,2018-04-13 00:00:00,MSW18089,M,277,Redfish Pass,North Captiva Island,Undetermined: Too Decomposed
Lee,2018-04-13 00:00:00,MSW18090,M,260,Kesson Bayou,Sanibel,Natural: Other
Lee,2018-04-13 00:00:00,MSW18091,M,215,Pine Island Sound,St. James City,Verified: Not Recovered
Lee,2018-04-14 00:00:00,MSW18093,M,239,Pine Island Sound,Captiva,Natural: Other
Lee,2018-04-14 00:00:00,SWFTm1829b,F,290,Caloosahatchee River,North Ft. Myers,Human Related: Watercraft Collision
Lee,2018-04-15 00:00:00,MSW18094,F,245,Pine Island Sound,Captiva,Verified: Not Recovered
Lee,2018-04-16 00:00:00,MSW18095,F,221,Pine Island Sound,Captiva,Natural: Other
Palm Beach,2018-04-17 00:00:00,MSE18048,F,273,Earman River,North Palm Beach,Natural: Cold Stress
Collier,2018-04-17 00:00:00,MSW18096,U,280,Gulf of Mexico,Marco Island,Verified: Not Recovered
Lee,2018-04-17 00:00:00,MSW18097,F,230,Pine Island Sound,Captiva,Verified: Not Recovered
Collier,2018-04-17 00:00:00,MSW18098,U,250,Caxambas Pass,Marco Island,Verified: Not Recovered
Collier,2018-04-17 00:00:00,MSW18100,F,315,Faka Union Canal,Port of the Islands,Natural: Other
Pinellas,2018-04-18 00:00:00,MNW18050,M,123,Allens Creek,Clearwater,Perinatal (<= 150 cm)
County,Date,Field ID,Sex,Size (cm),Waterway,City,Probable Cause
Monroe,2018-04-18 00:00:00,MSE18049,F,304,Tarpon Basin,Key Largo,Undetermined: Too Decomposed
Lee,2018-04-18 00:00:00,MSW18099,M,265,Pine Island Sound,St. James City,Natural: Other
Brevard,2018-04-19 00:00:00,MEC18050,M,275,Indian River,Palm Bay,Verified: Not Recovered
Brevard,2018-04-19 00:00:00,MEC18051,F,274,Indian River,Indialantic,Natural: Cold Stress
Collier,2018-04-19 00:00:00,MSW18101,F,240,Gullivan Bay,Cape Romano,Natural: Other
Lee,2018-04-19 00:00:00,MSW18102,U,245,Punta Rassa Cove,Ft. Myers,Verified: Not Recovered
Brevard,2018-04-20 00:00:00,MEC18052,F,233,Indian River Lagoon,Titusville,Undetermined: Other
Pinellas,2018-04-20 00:00:00,MNW18051,M,244,Tampa Bay,Clearwater,Human Related: Watercraft Collision
Lee,2018-04-20 00:00:00,MSW18103,U,260,Roosevelt Channel,Captiva,Verified: Not Recovered
Volusia,2018-04-21 00:00:00,MEC18053,M,223,Indian River North,Edgewater,Undetermined: Too Decomposed
Lee,2018-04-21 00:00:00,MSW18104,U,290,Pine Island Sound,Upper Captiva,Verified: Not Recovered
Lee,2018-04-21 00:00:00,MSW18105,F,255,Clam Bayou,Sanibel,Natural: Other
Manatee,2018-04-21 00:00:00,SWFTm1831b,M,292,Manatee River,Palmetto,Human Related: Watercraft Collision
Hillsborough,2018-04-22 00:00:00,MNW18052,F,104,Hillsborough Bay,Tampa,Perinatal (<= 150 cm)
Lee,2018-04-23 00:00:00,MSW18106,M,335,Kesson Bayou,Sanibel,Natural: Other
Lee,2018-04-23 00:00:00,MSW18107,M,331,Dinken Bayou,Sanibel,Natural: Other
Lee,2018-04-24 00:00:00,MSW18108,F,220,Big Carlos Pass,Ft. Myers Beach,Natural: Other
Brevard,2018-04-25 00:00:00,MEC18055,M,240,Banana River,Merritt Island,Human Related: Watercraft Collision
Hillsborough,2018-04-25 00:00:00,MNW18053,M,130,Woods Creek,Tampa,Perinatal (<= 150 cm)
Collier,2018-04-25 00:00:00,MSW18109,M,295,Rookery Bay,Naples,Natural: Other
Collier,2018-04-26 00:00:00,MSW18110,F,347,Gulf of Mexico,Naples,Natural: Other
Brevard,2018-04-27 00:00:00,MEC18054,F,135,Turkey Creek,Palm Bay,Perinatal (<= 150 cm)
St. Johns,2018-04-27 00:00:00,MNE18023,M,237,San Pablo River,Ponte Vedra Beach,Human Related: Watercraft Collision
Lee,2018-04-27 00:00:00,MSW18111,F,256,Matlacha Pass,Cape Coral,Human Related: Watercraft Collision
Lee,2018-04-28 00:00:00,MSW18112,M,272,San Carlos Bay,Saint James City,Natural: Other
Lee,2018-04-28 00:00:00,MSW18113,F,152,San Carlos Bay,Ft. Myers,Natural: Other
Lee,2018-04-29 00:00:00,MSW18115,F,263,Imperial River,Bonita Springs,Natural: Other
Lee,2018-04-30 00:00:00,MSW18114,F,189,Imperial River,Estero,Undetermined: Too Decomposed
Broward,2018-05-01 00:00:00,MSE18050,F,275,Himmershee Canal,Ft. Lauderdale,Natural: Other
Collier,2018-05-01 00:00:00,MSW18116,M,285,Gulf of Mexico,Marco Island,Natural: Other
